4.0    0.0     16.0     0.0
-4.0    2.0     16.0     4.0
-16.0    12.0     256.0     144.0
-12.0    8.0     144.0     64.0
-12.0    10.0     144.0     100.0
-4.0    -2.0     16.0     4.0
-8.0    0.0     64.0     0.0
-24.0    14.0     576.0     196.0
-16.0    10.0     256.0     100.0
0.0    4.0     0.0     16.0
-20.0    12.0     400.0     144.0
-24.0    14.0     576.0     196.0
-24.0    14.0     576.0     196.0
-4.0    6.0     16.0     36.0
-8.0    -4.0     64.0     16.0
-8.0    -2.0     64.0     4.0
-4.0    -2.0     16.0     4.0
-4.0    -4.0     16.0     16.0
-8.0    -10.0     64.0     100.0
-20.0    -12.0     400.0     144.0
-24.0    -14.0     576.0     196.0
-16.0    -10.0     256.0     100.0
4.0    -2.0     16.0     4.0
-12.0    4.0     144.0     16.0
-8.0    4.0     64.0     16.0
-8.0    0.0     64.0     0.0
-4.0    -8.0     16.0     64.0
-8.0    0.0     64.0     0.0
-4.0    0.0     16.0     0.0
0.0    4.0     0.0     16.0
-8.0    -2.0     64.0     4.0
-12.0    -8.0     144.0     64.0
-4.0    0.0     16.0     0.0
-4.0    -2.0     16.0     4.0
-8.0    -6.0     64.0     36.0
-4.0    -4.0     16.0     16.0
0.0    2.0     0.0     4.0
-4.0    2.0     16.0     4.0
-4.0    2.0     16.0     4.0
-4.0    -2.0     16.0     4.0
-12.0    -8.0     144.0     64.0
-4.0    -4.0     16.0     16.0
-8.0    -6.0     64.0     36.0
-16.0    -12.0     256.0     144.0
-12.0    -10.0     144.0     100.0
-16.0    -12.0     256.0     144.0
-32.0    -16.0     1024.0     256.0
-24.0    -14.0     576.0     196.0
-12.0    -8.0     144.0     64.0
-16.0    -10.0     256.0     100.0
-16.0    -12.0     256.0     144.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
-32.0    -16.0     1024.0     256.0
-16.0    -10.0     256.0     100.0
-20.0    -12.0     400.0     144.0
-24.0    -14.0     576.0     196.0
-8.0    -8.0     64.0     64.0
-4.0    -4.0     16.0     16.0
-8.0    -8.0     64.0     64.0
-4.0    -6.0     16.0     36.0
-16.0    -10.0     256.0     100.0
-16.0    8.0     256.0     64.0
-12.0    6.0     144.0     36.0
-16.0    10.0     256.0     100.0
-8.0    10.0     64.0     100.0
-20.0    12.0     400.0     144.0
-8.0    10.0     64.0     100.0
-12.0    6.0     144.0     36.0
-4.0    4.0     16.0     16.0
0.0    0.0     0.0     0.0
-8.0    -4.0     64.0     16.0
-8.0    -2.0     64.0     4.0
-8.0    -8.0     64.0     64.0
-8.0    -6.0     64.0     36.0
-20.0    -12.0     400.0     144.0
-12.0    -8.0     144.0     64.0
-8.0    -4.0     64.0     16.0
-16.0    -10.0     256.0     100.0
0.0    2.0     0.0     4.0
-8.0    4.0     64.0     16.0
-4.0    0.0     16.0     0.0
0.0    -2.0     0.0     4.0
-8.0    6.0     64.0     36.0
0.0    0.0     0.0     0.0
-4.0    -4.0     16.0     16.0
4.0    0.0     16.0     0.0
-12.0    10.0     144.0     100.0
-12.0    6.0     144.0     36.0
-16.0    12.0     256.0     144.0
-24.0    14.0     576.0     196.0
-32.0    16.0     1024.0     256.0
-24.0    14.0     576.0     196.0
-20.0    12.0     400.0     144.0
-24.0    14.0     576.0     196.0
-20.0    12.0     400.0     144.0
-16.0    10.0     256.0     100.0
-4.0    2.0     16.0     4.0
-4.0    4.0     16.0     16.0
-8.0    2.0     64.0     4.0
-4.0    -2.0     16.0     4.0
-12.0    -10.0     144.0     100.0
-24.0    -14.0     576.0     196.0
-32.0    -16.0     1024.0     256.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
0.0    0.0     0.0     0.0
-8.0    -6.0     64.0     36.0
-4.0    -4.0     16.0     16.0
-20.0    -12.0     400.0     144.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
-20.0    -12.0     400.0     144.0
-8.0    -8.0     64.0     64.0
-24.0    -14.0     576.0     196.0
-16.0    -10.0     256.0     100.0
-8.0    0.0     64.0     0.0
0.0    4.0     0.0     16.0
-4.0    -4.0     16.0     16.0
-8.0    4.0     64.0     16.0
-8.0    8.0     64.0     64.0
-8.0    0.0     64.0     0.0
-12.0    -8.0     144.0     64.0
-8.0    0.0     64.0     0.0
-4.0    2.0     16.0     4.0
-8.0    6.0     64.0     36.0
0.0    0.0     0.0     0.0
-4.0    -2.0     16.0     4.0
-4.0    0.0     16.0     0.0
-4.0    2.0     16.0     4.0
-8.0    6.0     64.0     36.0
-4.0    6.0     16.0     36.0
-8.0    8.0     64.0     64.0
-4.0    2.0     16.0     4.0
4.0    -2.0     16.0     4.0
-4.0    4.0     16.0     16.0
0.0    2.0     0.0     4.0
-4.0    4.0     16.0     16.0
0.0    4.0     0.0     16.0
0.0    -2.0     0.0     4.0
-8.0    -10.0     64.0     100.0
-4.0    -4.0     16.0     16.0
-8.0    0.0     64.0     0.0
-4.0    0.0     16.0     0.0
-4.0    -6.0     16.0     36.0
-4.0    4.0     16.0     16.0
-8.0    4.0     64.0     16.0
-4.0    2.0     16.0     4.0
0.0    0.0     0.0     0.0
-8.0    -2.0     64.0     4.0
-4.0    6.0     16.0     36.0
4.0    4.0     16.0     16.0
0.0    0.0     0.0     0.0
-16.0    12.0     256.0     144.0
-16.0    12.0     256.0     144.0
-32.0    16.0     1024.0     256.0
-16.0    10.0     256.0     100.0
-12.0    6.0     144.0     36.0
-20.0    12.0     400.0     144.0
-32.0    16.0     1024.0     256.0
-16.0    12.0     256.0     144.0
-32.0    16.0     1024.0     256.0
-12.0    10.0     144.0     100.0
-8.0    0.0     64.0     0.0
-12.0    -8.0     144.0     64.0
-4.0    0.0     16.0     0.0
-8.0    8.0     64.0     64.0
-24.0    14.0     576.0     196.0
-8.0    8.0     64.0     64.0
0.0    4.0     0.0     16.0
-4.0    0.0     16.0     0.0
-8.0    4.0     64.0     16.0
-8.0    6.0     64.0     36.0
-4.0    2.0     16.0     4.0
-8.0    4.0     64.0     16.0
-12.0    8.0     144.0     64.0
-20.0    12.0     400.0     144.0
-12.0    6.0     144.0     36.0
-8.0    6.0     64.0     36.0
-4.0    -2.0     16.0     4.0
0.0    -4.0     0.0     16.0
4.0    0.0     16.0     0.0
-8.0    2.0     64.0     4.0
-8.0    2.0     64.0     4.0
-12.0    6.0     144.0     36.0
-4.0    8.0     16.0     64.0
4.0    4.0     16.0     16.0
0.0    -4.0     0.0     16.0
-4.0    2.0     16.0     4.0
0.0    0.0     0.0     0.0
-8.0    6.0     64.0     36.0
-8.0    6.0     64.0     36.0
-8.0    8.0     64.0     64.0
0.0    2.0     0.0     4.0
0.0    -2.0     0.0     4.0
-12.0    10.0     144.0     100.0
-4.0    0.0     16.0     0.0
8.0    -2.0     64.0     4.0
4.0    -4.0     16.0     16.0
-8.0    -4.0     64.0     16.0
-12.0    -4.0     144.0     16.0
-4.0    -2.0     16.0     4.0
-4.0    2.0     16.0     4.0
-12.0    6.0     144.0     36.0
-4.0    2.0     16.0     4.0
0.0    -2.0     0.0     4.0
4.0    -2.0     16.0     4.0
-4.0    -8.0     16.0     64.0
-12.0    -6.0     144.0     36.0
0.0    -4.0     0.0     16.0
0.0    2.0     0.0     4.0
0.0    4.0     0.0     16.0
-12.0    10.0     144.0     100.0
-4.0    0.0     16.0     0.0
0.0    -2.0     0.0     4.0
-8.0    0.0     64.0     0.0
-8.0    6.0     64.0     36.0
0.0    4.0     0.0     16.0
-8.0    -2.0     64.0     4.0
-8.0    -8.0     64.0     64.0
-12.0    -6.0     144.0     36.0
-12.0    2.0     144.0     4.0
-4.0    8.0     16.0     64.0
-8.0    6.0     64.0     36.0
-8.0    8.0     64.0     64.0
-12.0    6.0     144.0     36.0
-4.0    0.0     16.0     0.0
0.0    -2.0     0.0     4.0
-8.0    2.0     64.0     4.0
-20.0    12.0     400.0     144.0
-24.0    14.0     576.0     196.0
-8.0    10.0     64.0     100.0
0.0    2.0     0.0     4.0
-16.0    -12.0     256.0     144.0
-4.0    -8.0     16.0     64.0
-4.0    -4.0     16.0     16.0
-8.0    4.0     64.0     16.0
-8.0    2.0     64.0     4.0
-8.0    -6.0     64.0     36.0
0.0    0.0     0.0     0.0
-4.0    6.0     16.0     36.0
-8.0    4.0     64.0     16.0
-16.0    8.0     256.0     64.0
-16.0    8.0     256.0     64.0
-16.0    10.0     256.0     100.0
-8.0    8.0     64.0     64.0
-8.0    0.0     64.0     0.0
-8.0    0.0     64.0     0.0
0.0    -4.0     0.0     16.0
-8.0    -8.0     64.0     64.0
-4.0    -8.0     16.0     64.0
-8.0    -8.0     64.0     64.0
-16.0    -10.0     256.0     100.0
-4.0    -8.0     16.0     64.0
-12.0    -6.0     144.0     36.0
-24.0    -14.0     576.0     196.0
-16.0    -12.0     256.0     144.0
-12.0    -8.0     144.0     64.0
-12.0    -8.0     144.0     64.0
0.0    -2.0     0.0     4.0
-4.0    -4.0     16.0     16.0
0.0    -2.0     0.0     4.0
-4.0    4.0     16.0     16.0
-24.0    14.0     576.0     196.0
-8.0    6.0     64.0     36.0
-4.0    2.0     16.0     4.0
-4.0    -6.0     16.0     36.0
-8.0    -4.0     64.0     16.0
-16.0    -10.0     256.0     100.0
-8.0    -8.0     64.0     64.0
-8.0    -2.0     64.0     4.0
-8.0    -6.0     64.0     36.0
-12.0    -8.0     144.0     64.0
-20.0    -12.0     400.0     144.0
-32.0    -16.0     1024.0     256.0
-20.0    -12.0     400.0     144.0
-12.0    -8.0     144.0     64.0
-16.0    -10.0     256.0     100.0
-8.0    -6.0     64.0     36.0
-8.0    0.0     64.0     0.0
-8.0    0.0     64.0     0.0
-8.0    2.0     64.0     4.0
-8.0    0.0     64.0     0.0
0.0    6.0     0.0     36.0
-4.0    4.0     16.0     16.0
-8.0    4.0     64.0     16.0
0.0    4.0     0.0     16.0
0.0    0.0     0.0     0.0
0.0    -4.0     0.0     16.0
-12.0    -8.0     144.0     64.0
-8.0    0.0     64.0     0.0
0.0    -4.0     0.0     16.0
-4.0    2.0     16.0     4.0
-12.0    -4.0     144.0     16.0
-4.0    -2.0     16.0     4.0
-4.0    6.0     16.0     36.0
-4.0    0.0     16.0     0.0
-4.0    0.0     16.0     0.0
-4.0    -6.0     16.0     36.0
-16.0    -12.0     256.0     144.0
-8.0    -8.0     64.0     64.0
-4.0    -2.0     16.0     4.0
-4.0    2.0     16.0     4.0
-8.0    -2.0     64.0     4.0
-16.0    0.0     256.0     0.0
-16.0    12.0     256.0     144.0
-12.0    10.0     144.0     100.0
-16.0    12.0     256.0     144.0
-4.0    0.0     16.0     0.0
4.0    2.0     16.0     4.0
0.0    -4.0     0.0     16.0
-4.0    -2.0     16.0     4.0
-4.0    -4.0     16.0     16.0
0.0    -6.0     0.0     36.0
-12.0    -8.0     144.0     64.0
-4.0    -6.0     16.0     36.0
-12.0    -2.0     144.0     4.0
-12.0    -6.0     144.0     36.0
-4.0    -4.0     16.0     16.0
-8.0    -6.0     64.0     36.0
4.0    -4.0     16.0     16.0
-16.0    12.0     256.0     144.0
-4.0    0.0     16.0     0.0
0.0    2.0     0.0     4.0
0.0    0.0     0.0     0.0
-4.0    6.0     16.0     36.0
-32.0    16.0     1024.0     256.0
-24.0    14.0     576.0     196.0
-16.0    12.0     256.0     144.0
-20.0    12.0     400.0     144.0
-20.0    12.0     400.0     144.0
-20.0    12.0     400.0     144.0
-20.0    12.0     400.0     144.0
-24.0    14.0     576.0     196.0
-12.0    10.0     144.0     100.0
-8.0    6.0     64.0     36.0
-12.0    10.0     144.0     100.0
-12.0    8.0     144.0     64.0
-12.0    10.0     144.0     100.0
-24.0    14.0     576.0     196.0
-12.0    8.0     144.0     64.0
0.0    -2.0     0.0     4.0
-4.0    8.0     16.0     64.0
0.0    4.0     0.0     16.0
-4.0    2.0     16.0     4.0
-8.0    -6.0     64.0     36.0
-4.0    4.0     16.0     16.0
-8.0    -4.0     64.0     16.0
-4.0    0.0     16.0     0.0
-8.0    2.0     64.0     4.0
0.0    0.0     0.0     0.0
-4.0    0.0     16.0     0.0
-4.0    -2.0     16.0     4.0
-4.0    -4.0     16.0     16.0
-12.0    -4.0     144.0     16.0
-8.0    -8.0     64.0     64.0
-24.0    -14.0     576.0     196.0
-12.0    -10.0     144.0     100.0
-24.0    -14.0     576.0     196.0
-16.0    -10.0     256.0     100.0
-8.0    2.0     64.0     4.0
4.0    4.0     16.0     16.0
-4.0    -2.0     16.0     4.0
-4.0    2.0     16.0     4.0
4.0    -6.0     16.0     36.0
-4.0    -4.0     16.0     16.0
-16.0    -12.0     256.0     144.0
-16.0    -8.0     256.0     64.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
-24.0    -14.0     576.0     196.0
-20.0    -12.0     400.0     144.0
-4.0    -4.0     16.0     16.0
-8.0    2.0     64.0     4.0
-12.0    -8.0     144.0     64.0
-12.0    -10.0     144.0     100.0
-4.0    -6.0     16.0     36.0
-12.0    -8.0     144.0     64.0
-8.0    -8.0     64.0     64.0
-12.0    -10.0     144.0     100.0
-12.0    -8.0     144.0     64.0
-4.0    -6.0     16.0     36.0
-12.0    -6.0     144.0     36.0
0.0    -2.0     0.0     4.0
-4.0    -6.0     16.0     36.0
-8.0    6.0     64.0     36.0
-16.0    12.0     256.0     144.0
-32.0    16.0     1024.0     256.0
-24.0    14.0     576.0     196.0
-20.0    12.0     400.0     144.0
-32.0    16.0     1024.0     256.0
-12.0    6.0     144.0     36.0
-16.0    10.0     256.0     100.0
-8.0    8.0     64.0     64.0
-24.0    14.0     576.0     196.0
-32.0    16.0     1024.0     256.0
-32.0    16.0     1024.0     256.0
-24.0    14.0     576.0     196.0
-32.0    16.0     1024.0     256.0
-12.0    8.0     144.0     64.0
-12.0    6.0     144.0     36.0
-8.0    0.0     64.0     0.0
-8.0    2.0     64.0     4.0
-12.0    4.0     144.0     16.0
-12.0    10.0     144.0     100.0
-16.0    10.0     256.0     100.0
-20.0    12.0     400.0     144.0
-8.0    6.0     64.0     36.0
0.0    -2.0     0.0     4.0
-8.0    6.0     64.0     36.0
-8.0    6.0     64.0     36.0
-8.0    6.0     64.0     36.0
-12.0    6.0     144.0     36.0
-8.0    6.0     64.0     36.0
-12.0    10.0     144.0     100.0
-8.0    2.0     64.0     4.0
-4.0    -6.0     16.0     36.0
-8.0    -10.0     64.0     100.0
-8.0    -6.0     64.0     36.0
0.0    -4.0     0.0     16.0
-12.0    -6.0     144.0     36.0
-12.0    -8.0     144.0     64.0
-8.0    -8.0     64.0     64.0
-24.0    -14.0     576.0     196.0
-16.0    -10.0     256.0     100.0
-8.0    0.0     64.0     0.0
-4.0    -4.0     16.0     16.0
0.0    -2.0     0.0     4.0
-12.0    6.0     144.0     36.0
-8.0    -2.0     64.0     4.0
-12.0    8.0     144.0     64.0
-4.0    2.0     16.0     4.0
-8.0    -2.0     64.0     4.0
-4.0    -4.0     16.0     16.0
0.0    -2.0     0.0     4.0
-8.0    0.0     64.0     0.0
-4.0    2.0     16.0     4.0
-4.0    0.0     16.0     0.0
-8.0    4.0     64.0     16.0
-12.0    10.0     144.0     100.0
0.0    0.0     0.0     0.0
-16.0    -12.0     256.0     144.0
-4.0    -4.0     16.0     16.0
-16.0    12.0     256.0     144.0
-24.0    14.0     576.0     196.0
-20.0    12.0     400.0     144.0
-12.0    8.0     144.0     64.0
-32.0    16.0     1024.0     256.0
-24.0    14.0     576.0     196.0
-8.0    10.0     64.0     100.0
-24.0    14.0     576.0     196.0
-12.0    10.0     144.0     100.0
-8.0    2.0     64.0     4.0
-8.0    -10.0     64.0     100.0
-16.0    -8.0     256.0     64.0
-16.0    -10.0     256.0     100.0
-16.0    -12.0     256.0     144.0
-12.0    -8.0     144.0     64.0
8.0    4.0     64.0     16.0
-8.0    8.0     64.0     64.0
-12.0    2.0     144.0     4.0
-8.0    6.0     64.0     36.0
-8.0    8.0     64.0     64.0
0.0    0.0     0.0     0.0
-8.0    -2.0     64.0     4.0
-4.0    2.0     16.0     4.0
-4.0    -6.0     16.0     36.0
-8.0    -10.0     64.0     100.0
-8.0    2.0     64.0     4.0
-8.0    -6.0     64.0     36.0
-4.0    -2.0     16.0     4.0
-12.0    -4.0     144.0     16.0
-8.0    2.0     64.0     4.0
-12.0    8.0     144.0     64.0
-8.0    8.0     64.0     64.0
-8.0    4.0     64.0     16.0
-8.0    4.0     64.0     16.0
-8.0    -6.0     64.0     36.0
-8.0    -4.0     64.0     16.0
-4.0    6.0     16.0     36.0
-4.0    -6.0     16.0     36.0
-16.0    -10.0     256.0     100.0
-24.0    -14.0     576.0     196.0
-20.0    -12.0     400.0     144.0
-4.0    2.0     16.0     4.0
-4.0    -4.0     16.0     16.0
-8.0    2.0     64.0     4.0
0.0    -4.0     0.0     16.0
0.0    2.0     0.0     4.0
0.0    -2.0     0.0     4.0
4.0    4.0     16.0     16.0
4.0    2.0     16.0     4.0
-4.0    0.0     16.0     0.0
-4.0    6.0     16.0     36.0
-8.0    6.0     64.0     36.0
-12.0    6.0     144.0     36.0
-8.0    -4.0     64.0     16.0
-12.0    -10.0     144.0     100.0
-12.0    -6.0     144.0     36.0
-20.0    -12.0     400.0     144.0
-32.0    -16.0     1024.0     256.0
-4.0    -6.0     16.0     36.0
0.0    2.0     0.0     4.0
-12.0    10.0     144.0     100.0
-12.0    10.0     144.0     100.0
-4.0    4.0     16.0     16.0
-24.0    14.0     576.0     196.0
-8.0    8.0     64.0     64.0
-24.0    14.0     576.0     196.0
-8.0    4.0     64.0     16.0
-12.0    10.0     144.0     100.0
-12.0    10.0     144.0     100.0
-16.0    12.0     256.0     144.0
-12.0    10.0     144.0     100.0
-4.0    6.0     16.0     36.0
-16.0    10.0     256.0     100.0
-24.0    14.0     576.0     196.0
-20.0    12.0     400.0     144.0
-24.0    14.0     576.0     196.0
-4.0    8.0     16.0     64.0
-8.0    4.0     64.0     16.0
-12.0    6.0     144.0     36.0
-12.0    8.0     144.0     64.0
-12.0    10.0     144.0     100.0
-16.0    12.0     256.0     144.0
-12.0    10.0     144.0     100.0
-24.0    14.0     576.0     196.0
-4.0    2.0     16.0     4.0
-16.0    10.0     256.0     100.0
-8.0    6.0     64.0     36.0
-4.0    -6.0     16.0     36.0
-12.0    2.0     144.0     4.0
-16.0    8.0     256.0     64.0
-8.0    6.0     64.0     36.0
-8.0    2.0     64.0     4.0
-8.0    -6.0     64.0     36.0
-16.0    -12.0     256.0     144.0
-4.0    -6.0     16.0     36.0
-16.0    -10.0     256.0     100.0
-12.0    -10.0     144.0     100.0
-20.0    -12.0     400.0     144.0
-24.0    -14.0     576.0     196.0
-8.0    -8.0     64.0     64.0
-4.0    -6.0     16.0     36.0
-4.0    2.0     16.0     4.0
0.0    4.0     0.0     16.0
0.0    0.0     0.0     0.0
-16.0    -10.0     256.0     100.0
-16.0    -8.0     256.0     64.0
-4.0    2.0     16.0     4.0
0.0    -2.0     0.0     4.0
-4.0    0.0     16.0     0.0
0.0    -2.0     0.0     4.0
0.0    -2.0     0.0     4.0
0.0    -2.0     0.0     4.0
-4.0    0.0     16.0     0.0
-8.0    2.0     64.0     4.0
-8.0    6.0     64.0     36.0
0.0    4.0     0.0     16.0
0.0    0.0     0.0     0.0
-24.0    14.0     576.0     196.0
-32.0    16.0     1024.0     256.0
-32.0    16.0     1024.0     256.0
-20.0    12.0     400.0     144.0
-24.0    14.0     576.0     196.0
-16.0    10.0     256.0     100.0
-12.0    10.0     144.0     100.0
-4.0    2.0     16.0     4.0
-8.0    0.0     64.0     0.0
-8.0    6.0     64.0     36.0
-12.0    10.0     144.0     100.0
-32.0    16.0     1024.0     256.0
-32.0    16.0     1024.0     256.0
-20.0    12.0     400.0     144.0
-4.0    4.0     16.0     16.0
-4.0    -2.0     16.0     4.0
-4.0    -2.0     16.0     4.0
-8.0    8.0     64.0     64.0
0.0    0.0     0.0     0.0
-12.0    -6.0     144.0     36.0
-12.0    -8.0     144.0     64.0
-24.0    -14.0     576.0     196.0
-16.0    -12.0     256.0     144.0
-8.0    -4.0     64.0     16.0
-4.0    2.0     16.0     4.0
-8.0    0.0     64.0     0.0
-8.0    -8.0     64.0     64.0
-8.0    -6.0     64.0     36.0
-20.0    -12.0     400.0     144.0
-8.0    -6.0     64.0     36.0
-20.0    -12.0     400.0     144.0
-16.0    -12.0     256.0     144.0
-16.0    -12.0     256.0     144.0
-8.0    -6.0     64.0     36.0
-20.0    -12.0     400.0     144.0
4.0    2.0     16.0     4.0
-4.0    -4.0     16.0     16.0
-8.0    -2.0     64.0     4.0
-8.0    8.0     64.0     64.0
-12.0    8.0     144.0     64.0
-8.0    6.0     64.0     36.0
0.0    -4.0     0.0     16.0
-8.0    2.0     64.0     4.0
-12.0    -8.0     144.0     64.0
-4.0    4.0     16.0     16.0
-8.0    0.0     64.0     0.0
-8.0    4.0     64.0     16.0
-4.0    6.0     16.0     36.0
-8.0    4.0     64.0     16.0
-8.0    6.0     64.0     36.0
-8.0    8.0     64.0     64.0
-12.0    6.0     144.0     36.0
0.0    4.0     0.0     16.0
-8.0    2.0     64.0     4.0
-8.0    2.0     64.0     4.0
-16.0    -10.0     256.0     100.0
-16.0    -10.0     256.0     100.0
-32.0    -16.0     1024.0     256.0
-20.0    -12.0     400.0     144.0
-12.0    -8.0     144.0     64.0
0.0    -4.0     0.0     16.0
0.0    -4.0     0.0     16.0
